City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
52,Ponta Do Sol,PT,2020-02-23 18:03:06,32.67,-17.1,71.01,60,20,18.34,few clouds,0.0,0.0
53,Zhigansk,RU,2020-02-23 18:03:07,66.77,123.37,-15.09,99,94,9.17,overcast clouds,0.0,0.0
54,Port Hardy,CA,2020-02-23 17:58:41,50.7,-127.42,39.2,93,90,25.28,light intensity shower rain,0.0,0.0
55,Bin Qirdan,TN,2020-02-23 18:03:08,33.14,11.22,58.5,60,0,7.58,clear sky,0.0,0.0
56,Castro,BR,2020-02-23 17:58:45,-24.79,-50.01,79.45,39,100,1.3,overcast clouds,0.0,0.0
57,Yellowknife,CA,2020-02-23 18:01:37,62.46,-114.35,-8.0,69,40,8.05,scattered clouds,0.0,0.0
58,Punta Arenas,CL,2020-02-23 17:58:24,-53.15,-70.92,55.4,58,75,23.04,broken clouds,0.0,0.0
59,Jamestown,US,2020-02-23 17:56:04,42.1,-79.24,48.2,32,1,13.87,clear sky,0.0,0.0
60,Airai,TL,2020-02-23 18:03:09,-8.93,125.41,66.96,87,74,4.16,broken clouds,0.0,0.0
61,Pangnirtung,CA,2020-02-23 17:58:53,66.15,-65.71,-31.0,66,75,3.36,broken clouds,0.0,0.0
62,Mollendo,PE,2020-02-23 18:03:09,-17.02,-72.01,72.77,84,97,8.34,overcast clouds,0.0,0.0
63,Butterworth,MY,2020-02-23 18:03:09,5.4,100.36,80.6,65,20,10.29,few clouds,0.0,0.0
64,Kodiak,US,2020-02-23 17:58:44,57.79,-152.41,17.6,48,1,33.33,clear sky,0.0,0.0
65,Souillac,MU,2020-02-23 18:03:10,-20.52,57.52,78.01,94,75,9.17,shower rain,0.0,0.0
66,Tshikapa,CD,2020-02-23 18:03:10,-6.42,20.8,71.22,95,100,3.18,overcast clouds,0.0,0.0
67,Pisco,PE,2020-02-23 17:58:43,-13.7,-76.22,78.01,30,40,9.17,scattered clouds,0.0,0.0
68,Bairiki,KI,2020-02-23 18:03:11,1.33,172.98,84.63,76,95,10.69,light rain,1.06,0.0
69,Odienne,CI,2020-02-23 18:03:11,9.51,-7.57,97.5,12,33,4.74,scattered clouds,0.0,0.0
70,Arraial Do Cabo,BR,2020-02-23 18:00:05,-22.97,-42.03,80.6,69,75,8.05,broken clouds,0.0,0.0
71,Makhinjauri,GE,2020-02-23 18:03:11,41.67,41.69,46.4,87,75,5.23,broken clouds,0.0,0.0
72,Kangaatsiaq,GL,2020-02-23 18:03:12,68.31,-53.46,4.5,75,4,3.65,clear sky,0.0,0.0
73,Ciudad Bolivar,VE,2020-02-23 18:03:12,8.12,-63.55,95.22,34,84,7.23,broken clouds,0.0,0.0
74,Diffa,NE,2020-02-23 17:58:52,13.32,12.61,78.84,13,0,10.8,clear sky,0.0,0.0
75,Karpogory,RU,2020-02-23 18:03:12,64.0,44.45,33.67,89,100,15.17,light snow,0.0,0.19
76,Takoradi,GH,2020-02-23 18:03:12,4.88,-1.76,82.76,80,93,7.83,light rain,0.88,0.0
77,Kutum,SD,2020-02-23 18:03:13,14.2,24.67,65.97,16,0,6.4,clear sky,0.0,0.0
78,Katima Mulilo,NA,2020-02-23 18:03:13,-17.5,24.27,78.8,83,94,2.24,overcast clouds,0.0,0.0
79,Tessalit,ML,2020-02-23 18:03:13,20.2,1.01,81.7,11,27,7.14,scattered clouds,0.0,0.0
80,Carnarvon,AU,2020-02-23 17:58:38,-24.87,113.63,77.0,83,0,10.29,clear sky,0.0,0.0
81,Port Alfred,ZA,2020-02-23 17:56:11,-33.59,26.89,64.99,80,52,8.03,broken clouds,0.0,0.0
82,Korla,CN,2020-02-23 17:58:46,41.76,86.15,28.15,43,14,1.12,few clouds,0.0,0.0
83,Nikolskoye,RU,2020-02-23 17:58:46,59.7,30.79,37.4,90,75,8.95,light intensity shower rain,0.0,0.0
84,Sioux Lookout,CA,2020-02-23 18:03:14,50.1,-91.92,30.2,63,75,8.05,broken clouds,0.0,0.0
85,Hasaki,JP,2020-02-23 17:57:07,35.73,140.83,42.8,41,20,6.93,few clouds,0.0,0.0
86,Skjervoy,NO,2020-02-23 18:03:15,70.03,20.97,28.4,74,75,6.93,broken clouds,0.0,0.0
87,Margate,GB,2020-02-23 18:03:15,51.38,1.39,50.0,57,98,10.29,overcast clouds,0.0,0.0
88,Iqaluit,CA,2020-02-23 18:03:15,63.75,-68.51,-23.01,55,20,12.75,few clouds,0.0,0.0
89,Tuktoyaktuk,CA,2020-02-23 17:58:48,69.45,-133.04,-7.6,83,90,13.87,light snow,0.0,0.0
90,Ust-Kuyga,RU,2020-02-23 18:03:18,70.02,135.6,-18.96,100,78,3.94,broken clouds,0.0,0.0
91,Tasiilaq,GL,2020-02-23 18:03:18,65.61,-37.64,10.4,66,96,8.46,overcast clouds,0.0,0.0
92,Hermanus,ZA,2020-02-23 17:55:58,-34.42,19.23,66.0,70,0,5.01,clear sky,0.0,0.0
93,Portland,US,2020-02-23 18:01:11,45.52,-122.68,48.2,76,90,14.99,light rain,0.0,0.0
94,Saint-Philippe,RE,2020-02-23 17:58:25,-21.36,55.77,78.8,78,20,2.24,few clouds,0.0,0.0
95,Thompson,CA,2020-02-23 17:58:52,55.74,-97.86,12.2,72,75,5.82,broken clouds,0.0,0.0
96,Mindelo,CV,2020-02-23 18:03:19,16.89,-24.98,75.2,57,20,21.92,few clouds,0.0,0.0
97,Khatanga,RU,2020-02-23 18:03:20,71.97,102.5,12.67,92,98,15.46,light snow,0.0,0.25
98,Vanimo,PG,2020-02-23 18:03:20,-2.67,141.3,82.33,80,100,18.84,light rain,1.37,0.0
99,Ribeira Grande,PT,2020-02-23 18:03:20,38.52,-28.7,62.6,67,40,5.82,scattered clouds,0.0,0.0
100,Kavieng,PG,2020-02-23 17:59:11,-2.57,150.8,84.34,72,49,11.52,scattered clouds,0.0,0.0
101,Mataura,NZ,2020-02-23 17:58:43,-46.19,168.86,51.01,91,93,1.99,overcast clouds,0.0,0.0
102,Ushuaia,AR,2020-02-23 17:58:40,-54.8,-68.3,50.0,76,75,9.17,light intensity drizzle,0.0,0.0
103,Paracuru,BR,2020-02-23 18:03:21,-3.41,-39.03,87.8,66,75,9.17,broken clouds,0.0,0.0
104,Tazovskiy,RU,2020-02-23 18:03:21,67.47,78.7,27.97,90,100,18.1,overcast clouds,0.0,0.0
105,Jalu,LY,2020-02-23 18:03:21,29.03,21.55,57.83,39,49,10.11,scattered clouds,0.0,0.0
106,Jamu Mare,RO,2020-02-23 18:03:22,45.25,21.42,53.6,59,73,8.05,broken clouds,0.0,0.0
107,Suruc,TR,2020-02-23 18:03:22,36.98,38.42,46.4,87,75,8.05,broken clouds,0.0,0.0
108,Petauke,ZM,2020-02-23 18:02:43,-14.24,31.33,73.31,91,50,2.44,scattered clouds,0.0,0.0
109,Bethel,US,2020-02-23 17:58:18,41.37,-73.41,55.0,29,1,10.29,clear sky,0.0,0.0
110,Dawson,US,2020-02-23 18:00:19,31.77,-84.45,60.8,30,1,3.91,clear sky,0.0,0.0
